Brand1,Brand2,Lift
honda,toyota,2.075833234772324
toyota,nissan,1.8683880239520958
honda,nissan,1.3280063173475636
acura,honda,1.1775044132887564
infiniti,acura,0.868235092188667
lexus,acura,0.8204092470814245
audi,cadillac,0.8145396494862295
acura,audi,0.8061157671272948
infiniti,nissan,0.7838278290221206
infiniti,cadillac,0.7814996021783536
infiniti,bmw,0.775175059214904
bmw,audi,0.7738315921896477
infiniti,lexus,0.7542081743227955
infiniti,audi,0.752579412788979
lexus,cadillac,0.7505216525409344
lexus,bmw,0.7328218037186401
acura,cadillac,0.6685865942545733
lexus,audi,0.6578845922580473
bmw,cadillac,0.6475339205795108
infiniti,honda,0.6334216550175359
lexus,toyota,0.6269074626865672
lexus,nissan,0.58990437036375
lexus,honda,0.5400200358350176
infiniti,toyota,0.5321981723705429
lexus,chrysler,0.5280790881274379
acura,nissan,0.5280633040848995
bmw,acura,0.5258011622185501
infiniti,chrysler,0.5131769734054649
toyota,chrysler,0.446039123630673
audi,chrysler,0.44135238167290824
honda,chrysler,0.41648273238881345
acura,chrysler,0.39223086040998467
cadillac,chrysler,0.39155902477454224
acura,toyota,0.38523607673267335
bmw,toyota,0.3815554685971434
audi,honda,0.35738469023695413
nissan,chrysler,0.33737595232071066
bmw,chrysler,0.312336244909182
bmw,honda,0.3002733751867616
bmw,nissan,0.2882316759554653
cadillac,toyota,0.27295223654283546
audi,toyota,0.2618795881826321
audi,nissan,0.2573359994424758
honda,cadillac,0.1950427473817817
cadillac,nissan,0.1362037108497183
