<<<<<<< HEAD
Brand,engine,interior,luxury,performance,price
acura,0.9455199528223281,1.149388161235152,1.0506379497987062,1.0684548899596564,1.0858621347156114
audi,1.1847462655701915,1.3456908143922235,1.050858581794088,1.0993966487260523,1.2229157647066837
bmw,1.090207151668252,0.9189335483705727,0.8995145223636573,1.064660314509879,1.196068022194491
cadillac,1.0957165618618372,1.5731896224494284,1.1865646053717425,1.0920329529309174,1.2330224665510876
honda,1.1429949207044359,1.2091488558543244,1.2643461356142565,1.1575724823809557,1.2064334327941861
infiniti,0.8197768151061405,0.8261299483184827,0.7348763065717933,0.812316753814105,0.8461101507449661
lexus,0.9161134259058739,0.8978266561927205,0.8797012839852902,0.9325152040372612,0.9802368329536342
nissan,1.4284630970212795,0.9697851261040672,1.029216648212657,1.0468068376992423,0.9653235611515912
polestar,1.4136275904041695,1.0742728100133239,0.8478888384500325,1.0879522096363237,1.2547093199184896
toyota,1.036052814857806,1.103312415654521,1.6698830926874708,1.2187927780057446,1.1983680456490728
=======
Brand,interior,luxury,performance,power,price
acura,1.149388161235152,1.0506379497987062,1.0684548899596564,1.2342572483761116,1.0858621347156114
audi,1.3456908143922235,1.050858581794088,1.0993966487260523,1.5183284959143293,1.2229157647066837
bmw,0.9187537882867758,0.8993385609938678,1.064452047625194,1.1518253852556242,1.1958340495766908
cadillac,1.5731896224494284,1.1865646053717425,1.0920329529309174,1.0322636334223474,1.2330224665510876
honda,1.2091488558543244,1.2643461356142565,1.1575724823809557,1.4549704881971623,1.2064334327941861
infiniti,0.8261299483184827,0.7348763065717933,0.812316753814105,0.9116500250508721,0.8461101507449661
lexus,0.8978266561927205,0.8797012839852902,0.9325152040372612,1.0249994058370566,0.9802368329536342
nissan,0.9697851261040672,1.029216648212657,1.0468068376992423,1.5161771997406461,0.9653235611515912
polestar,1.0742728100133239,0.8478888384500325,1.0879522096363237,1.5958295740698347,1.2547093199184896
toyota,1.103312415654521,1.6698830926874708,1.2187927780057446,1.0271385350318472,1.1983680456490728
>>>>>>> 9b261ce8890faf4aa272b9e9f9c23178b79f4e13
